,game_name,game_url,steam_rating
0,Portal 2,https://steamdb.info/app/620/,97.54%
1,Factorio,https://steamdb.info/app/427520/,97.14%
2,The Witcher 3: Wild Hunt,https://steamdb.info/app/292030/,97.10%
3,Terraria,https://steamdb.info/app/105600/,96.94%
4,RimWorld,https://steamdb.info/app/294100/,96.66%
5,The Binding of Isaac: Rebirth,https://steamdb.info/app/250900/,96.60%
6,Portal,https://steamdb.info/app/400/,96.60%
7,Half-Life: Alyx,https://steamdb.info/app/546560/,96.58%
8,Stardew Valley,https://steamdb.info/app/413150/,96.51%
9,Euro Truck Simulator 2,https://steamdb.info/app/227300/,96.35%
10,Mount & Blade: Warband,https://steamdb.info/app/48700/,96.22%
11,Slay the Spire,https://steamdb.info/app/646570/,96.19%
12,Counter-Strike,https://steamdb.info/app/10/,96.18%
13,Helltaker,https://steamdb.info/app/1289310/,96.16%
14,Left 4 Dead 2,https://steamdb.info/app/550/,96.14%
15,Katana ZERO,https://steamdb.info/app/460950/,96.13%
16,A Hat in Time,https://steamdb.info/app/253230/,96.02%
17,Hades,https://steamdb.info/app/1145360/,95.96%
18,Half-Life 2,https://steamdb.info/app/220/,95.74%
19,Resident Evil 2,https://steamdb.info/app/883710/,95.67%
20,Mirror,https://steamdb.info/app/644560/,95.66%
21,South Park™: The Stick of Truth™,https://steamdb.info/app/213670/,95.63%
22,Hotline Miami,https://steamdb.info/app/219150/,95.61%
23,Totally Accurate Battle Simulator,https://steamdb.info/app/508440/,95.61%
24,People Playground,https://steamdb.info/app/1118200/,95.59%
25,BattleBlock Theater,https://steamdb.info/app/238460/,95.55%
26,Garry's Mod,https://steamdb.info/app/4000/,95.55%
27,One Finger Death Punch,https://steamdb.info/app/264200/,95.54%
28,Doki Doki Literature Club,https://steamdb.info/app/698780/,95.53%
29,OneShot,https://steamdb.info/app/420530/,95.47%
30,Dishonored,https://steamdb.info/app/205100/,95.44%
31,Celeste,https://steamdb.info/app/504230/,95.42%
32,VA-11 Hall-A: Cyberpunk Bartender Action,https://steamdb.info/app/447530/,95.41%
33,Iron Snout,https://steamdb.info/app/424280/,95.40%
34,Slime Rancher,https://steamdb.info/app/433340/,95.38%
35,The Wolf Among Us,https://steamdb.info/app/250320/,95.35%
36,Baba Is You,https://steamdb.info/app/736260/,95.34%
37,Grimm,https://steamdb.info/app/252150/,95.32%
38,Don't Starve,https://steamdb.info/app/219740/,95.26%
39,DUSK,https://steamdb.info/app/519860/,95.22%
40,Senren＊Banka,https://steamdb.info/app/1144400/,95.22%
41,Hollow Knight,https://steamdb.info/app/367520/,95.20%
42,A Short Hike,https://steamdb.info/app/1055540/,95.20%
43,Don't Starve Together,https://steamdb.info/app/322330/,95.15%
44,Broforce,https://steamdb.info/app/274190/,95.10%
45,The Walking Dead,https://steamdb.info/app/207610/,95.03%
46,Tomb Raider,https://steamdb.info/app/203160/,95.02%
47,Life is Strange™,https://steamdb.info/app/319630/,95.01%
48,The Room,https://steamdb.info/app/288160/,94.91%
49,Keep Talking and Nobody Explodes,https://steamdb.info/app/341800/,94.89%
50,Sid Meier's Civilization V,https://steamdb.info/app/8930/,94.88%
51,Dead Cells,https://steamdb.info/app/588650/,94.88%
52,Muse Dash,https://steamdb.info/app/774171/,94.87%
53,Undertale,https://steamdb.info/app/391540/,94.87%
54,Eternal Senia,https://steamdb.info/app/351640/,94.84%
55,Finding Paradise,https://steamdb.info/app/337340/,94.83%
56,The Room Two,https://steamdb.info/app/425580/,94.82%
57,Touhou Luna Nights,https://steamdb.info/app/851100/,94.77%
58,To the Moon,https://steamdb.info/app/206440/,94.74%
59,Fallout: New Vegas,https://steamdb.info/app/22380/,94.71%
60,STEINS;GATE,https://steamdb.info/app/412830/,94.70%
61,東方天空璋 ～ Hidden Star in Four Seasons.,https://steamdb.info/app/745880/,94.70%
62,Just Shapes & Beats,https://steamdb.info/app/531510/,94.67%
63,The Expendabros,https://steamdb.info/app/312990/,94.64%
64,Counter-Strike: Source,https://steamdb.info/app/240/,94.63%
65,Super Hexagon,https://steamdb.info/app/221640/,94.62%
66,Dishonored RHCP,https://steamdb.info/app/217980/,94.61%
67,Half-Life,https://steamdb.info/app/70/,94.60%
68,Cuphead,https://steamdb.info/app/268910/,94.59%
69,Divinity: Original Sin 2,https://steamdb.info/app/435150/,94.58%
70,"Papers, Please",https://steamdb.info/app/239030/,94.53%
71,GRIS,https://steamdb.info/app/683320/,94.53%
72,Unheard,https://steamdb.info/app/942970/,94.52%
73,Gunpoint,https://steamdb.info/app/206190/,94.52%
74,Epic Battle Fantasy 5,https://steamdb.info/app/432350/,94.51%
75,Townscaper,https://steamdb.info/app/1291340/,94.51%
76,Beat Saber,https://steamdb.info/app/620980/,94.50%
77,Risk of Rain 2,https://steamdb.info/app/632360/,94.49%
78,Plants vs. Zombies: Game of the Year,https://steamdb.info/app/3590/,94.49%
79,Oxygen Not Included,https://steamdb.info/app/457140/,94.48%
80,CLANNAD,https://steamdb.info/app/324160/,94.47%
81,ATRI -My Dear Moments-,https://steamdb.info/app/1230140/,94.47%
82,Kind Words,https://steamdb.info/app/1070710/,94.46%
83,FTL: Faster Than Light,https://steamdb.info/app/212680/,94.45%
84,Mark of the Ninja,https://steamdb.info/app/214560/,94.45%
85,NEKOPARA Vol. 2,https://steamdb.info/app/420110/,94.45%
86,Castle Crashers,https://steamdb.info/app/204360/,94.39%
87,The Henry Stickmin Collection,https://steamdb.info/app/1089980/,94.38%
88,Outlast,https://steamdb.info/app/238320/,94.38%
89,Persona 4 Golden,https://steamdb.info/app/1113000/,94.38%
90,Phoenix Wright: Ace Attorney Trilogy,https://steamdb.info/app/787480/,94.35%
91,STAR WARS™ Empire at War: Gold Pack,https://steamdb.info/app/32470/,94.33%
92,NEKOPARA Vol. 3,https://steamdb.info/app/602520/,94.33%
93,Saints Row: The Third,https://steamdb.info/app/55230/,94.26%
94,Danganronpa: Trigger Happy Havoc,https://steamdb.info/app/413410/,94.24%
95,Enter the Gungeon,https://steamdb.info/app/311690/,94.23%
96,Rabi-Ribi,https://steamdb.info/app/400910/,94.22%
97,Subnautica,https://steamdb.info/app/264710/,94.22%
98,Ori and the Blind Forest: Definitive Edition,https://steamdb.info/app/387290/,94.20%
99,Deep Rock Galactic,https://steamdb.info/app/548430/,94.17%
100,Grimm's Hollow,https://steamdb.info/app/1170880/,94.13%
101,Duck Game,https://steamdb.info/app/312530/,94.12%
102,Ravenfield,https://steamdb.info/app/636480/,94.09%
103,HuniePop,https://steamdb.info/app/339800/,94.09%
104,Danganronpa 2: Goodbye Despair,https://steamdb.info/app/413420/,94.05%
105,Half-Life 2: Episode Two,https://steamdb.info/app/420/,94.03%
106,Monster Girl Island: Prologue,https://steamdb.info/app/943700/,94.03%
107,Tabletop Simulator,https://steamdb.info/app/286160/,94.02%
108,Batman: Arkham City™,https://steamdb.info/app/57400/,94.00%
109,Gorogoa,https://steamdb.info/app/557600/,93.99%
110,Backbone: Prologue,https://steamdb.info/app/992310/,93.98%
111,Little Witch Nobeta,https://steamdb.info/app/1049890/,93.97%
112,Hook,https://steamdb.info/app/367580/,93.96%
113,Batman: Arkham Asylum GOTY Edition,https://steamdb.info/app/35140/,93.93%
114,BioShock Infinite,https://steamdb.info/app/8870/,93.91%
115,The Binding of Isaac,https://steamdb.info/app/113200/,93.90%
116,Nova Drift,https://steamdb.info/app/858210/,93.90%
117,Crypt of the NecroDancer,https://steamdb.info/app/247080/,93.89%
118,Return of the Obra Dinn,https://steamdb.info/app/653530/,93.89%
119,Shovel Knight: Treasure Trove,https://steamdb.info/app/250760/,93.88%
120,Age of Empires II (2013),https://steamdb.info/app/221380/,93.88%
121,Bastion,https://steamdb.info/app/107100/,93.84%
122,Mindustry,https://steamdb.info/app/1127400/,93.83%
123,West of Loathing,https://steamdb.info/app/597220/,93.82%
124,Supreme Commander: Forged Alliance,https://steamdb.info/app/9420/,93.81%
125,Satisfactory,https://steamdb.info/app/526870/,93.81%
126,tModLoader,https://steamdb.info/app/1281930/,93.78%
127,My Friend Pedro,https://steamdb.info/app/557340/,93.78%
128,Ori and the Blind Forest,https://steamdb.info/app/261570/,93.75%
129,Everlasting Summer,https://steamdb.info/app/331470/,93.75%
130,S.T.A.L.K.E.R.: Call of Pripyat,https://steamdb.info/app/41700/,93.73%
131,INSIDE,https://steamdb.info/app/304430/,93.73%
132,Shadow Tactics: Blades of the Shogun,https://steamdb.info/app/418240/,93.70%
133,Black Mesa,https://steamdb.info/app/362890/,93.69%
134,Stronghold Crusader HD,https://steamdb.info/app/40970/,93.69%
135,POSTAL 2,https://steamdb.info/app/223470/,93.68%
136,Gravitas,https://steamdb.info/app/1067310/,93.68%
137,Killing Floor,https://steamdb.info/app/1250/,93.68%
138,Clone Drone in the Danger Zone,https://steamdb.info/app/597170/,93.67%
139,American Truck Simulator,https://steamdb.info/app/270880/,93.67%
140,Glass Masquerade,https://steamdb.info/app/511470/,93.67%
141,Opus Magnum,https://steamdb.info/app/558990/,93.66%
142,The Walking Dead: Season Two,https://steamdb.info/app/261030/,93.64%
143,Mini Metro,https://steamdb.info/app/287980/,93.64%
144,The Elder Scrolls V: Skyrim,https://steamdb.info/app/72850/,93.62%
145,SOMA,https://steamdb.info/app/282140/,93.62%
146,Left 4 Dead,https://steamdb.info/app/500/,93.60%
147,Bit Blaster XL,https://steamdb.info/app/433950/,93.60%
148,Bloodstained: Ritual of the Night,https://steamdb.info/app/692850/,93.59%
149,Batman: Arkham City GOTY,https://steamdb.info/app/200260/,93.59%
150,Nuclear Throne,https://steamdb.info/app/242680/,93.58%
151,Superflight,https://steamdb.info/app/732430/,93.51%
152,Bloons TD 6,https://steamdb.info/app/960090/,93.50%
153,Ultimate Chicken Horse,https://steamdb.info/app/386940/,93.50%
154,DEEP SPACE WAIFU,https://steamdb.info/app/639790/,93.49%
155,"Hot Dogs, Horseshoes & Hand Grenades",https://steamdb.info/app/450540/,93.49%
156,Besiege,https://steamdb.info/app/346010/,93.47%
157,TY the Tasmanian Tiger,https://steamdb.info/app/411960/,93.47%
158,Dying Light,https://steamdb.info/app/239140/,93.47%
159,planetarian HD,https://steamdb.info/app/623080/,93.47%
160,BeamNG.drive,https://steamdb.info/app/284160/,93.47%
161,Monster Train,https://steamdb.info/app/1102190/,93.46%
162,Marco & The Galaxy Dragon,https://steamdb.info/app/1202540/,93.46%
163,DOOM,https://steamdb.info/app/379720/,93.44%
164,NEKOPARA Vol. 1,https://steamdb.info/app/333600/,93.44%
165,The Talos Principle,https://steamdb.info/app/257510/,93.44%
166,Portal Stories: Mel,https://steamdb.info/app/317400/,93.43%
167,klocki,https://steamdb.info/app/499440/,93.42%
168,Cube Escape: Paradox,https://steamdb.info/app/909080/,93.42%
169,Hidden Folks,https://steamdb.info/app/435400/,93.41%
170,Titanfall® 2,https://steamdb.info/app/1237970/,93.40%
171,Fran Bow,https://steamdb.info/app/362680/,93.40%
172,Streets of Rogue,https://steamdb.info/app/512900/,93.40%
173,Bug Fables,https://steamdb.info/app/1082710/,93.39%
174,Samsara Room,https://steamdb.info/app/1281800/,93.38%
175,Tales of the Black Forest,https://steamdb.info/app/1093910/,93.36%
176,Dust: An Elysian Tail,https://steamdb.info/app/236090/,93.36%
177,Downwell,https://steamdb.info/app/360740/,93.35%
178,Trine 2,https://steamdb.info/app/35720/,93.35%
179,Game Dev Tycoon,https://steamdb.info/app/239820/,93.32%
180,Princess Remedy in a World of Hurt,https://steamdb.info/app/407900/,93.32%
181,Geometry Dash,https://steamdb.info/app/322170/,93.30%
182,Super Animal Royale,https://steamdb.info/app/843380/,93.29%
183,Ultimate Custom Night,https://steamdb.info/app/871720/,93.29%
184,Neon Beats,https://steamdb.info/app/1064610/,93.28%
185,Team Fortress 2,https://steamdb.info/app/440/,93.27%
186,Noita,https://steamdb.info/app/881100/,93.25%
187,Orcs Must Die!,https://steamdb.info/app/102600/,93.24%
188,Kingdom Rush,https://steamdb.info/app/246420/,93.23%
189,LoveChoice 拣爱,https://steamdb.info/app/939400/,93.22%
190,Star Fetchers,https://steamdb.info/app/1178030/,93.22%
191,NEKOPARA Extra,https://steamdb.info/app/899970/,93.21%
192,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,https://steamdb.info/app/260230/,93.19%
193,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,https://steamdb.info/app/900883/,93.18%
194,Rakuen,https://steamdb.info/app/559210/,93.18%
195,The Elder Scrolls IV: Oblivion ,https://steamdb.info/app/22330/,93.18%
196,There is no game : Wrong dimension,https://steamdb.info/app/1240210/,93.16%
197,This War of Mine,https://steamdb.info/app/282070/,93.15%
198,Sayonara Wild Hearts,https://steamdb.info/app/1122720/,93.14%
199,S.T.A.L.K.E.R.: Shadow of Chernobyl,https://steamdb.info/app/4500/,93.14%
200,Mafia II (Classic),https://steamdb.info/app/50130/,93.13%
201,missed messages.,https://steamdb.info/app/812810/,93.13%
202,Aokana - Four Rhythms Across the Blue,https://steamdb.info/app/1044620/,93.12%
203,Devil May Cry 5,https://steamdb.info/app/601150/,93.12%
204,VVVVVV,https://steamdb.info/app/70300/,93.11%
205,FIVE NIGHTS AT FREDDY'S: HELP WANTED,https://steamdb.info/app/732690/,93.11%
206,Zup! X,https://steamdb.info/app/508900/,93.10%
207,Spyro™ Reignited Trilogy,https://steamdb.info/app/996580/,93.10%
208,Ori and the Will of the Wisps,https://steamdb.info/app/1057090/,93.08%
209,Fox Hime Zero,https://steamdb.info/app/844930/,93.08%
210,Refunct,https://steamdb.info/app/406150/,93.08%
211,Unreal Tournament 2004,https://steamdb.info/app/13230/,93.07%
212,Primordia,https://steamdb.info/app/227000/,93.06%
213,Supraland,https://steamdb.info/app/813630/,93.05%
214,Day of the Tentacle Remastered,https://steamdb.info/app/388210/,93.05%
215,Trine,https://steamdb.info/app/35700/,93.04%
216,异化之恶〇Abnormal Treatment,https://steamdb.info/app/1122750/,93.04%
217,LYNE,https://steamdb.info/app/266010/,93.03%
218,The Supper,https://steamdb.info/app/1171370/,93.01%
219,Dungeon Munchies,https://steamdb.info/app/799640/,93.00%
220,The Forest,https://steamdb.info/app/242760/,93.00%
221,Recettear: An Item Shop's Tale,https://steamdb.info/app/70400/,92.99%
222,Desperados III,https://steamdb.info/app/610370/,92.97%
223,What Remains of Edith Finch,https://steamdb.info/app/501300/,92.95%
224,LISA,https://steamdb.info/app/335670/,92.95%
225,Orbt XL,https://steamdb.info/app/615610/,92.94%
226,Tales from the Borderlands,https://steamdb.info/app/330830/,92.93%
227,Griftlands,https://steamdb.info/app/601840/,92.92%
228,Audiosurf,https://steamdb.info/app/12900/,92.91%
229,WORLD OF HORROR,https://steamdb.info/app/913740/,92.91%
230,Total War: MEDIEVAL II - Definitive Edition,https://steamdb.info/app/4700/,92.91%
231,Brothers - A Tale of Two Sons,https://steamdb.info/app/225080/,92.89%
232,fault - milestone two side:above,https://steamdb.info/app/344770/,92.85%
233,Unreal Tournament: Game of the Year Edition,https://steamdb.info/app/13240/,92.85%
234,LEGO® Star Wars™: The Complete Saga,https://steamdb.info/app/32440/,92.85%
235,Sekiro™: Shadows Die Twice,https://steamdb.info/app/814380/,92.84%
236,Neighbours from Hell,https://steamdb.info/app/260750/,92.82%
237,The Room Three,https://steamdb.info/app/456750/,92.81%
238,Defense Grid: The Awakening,https://steamdb.info/app/18500/,92.80%
239,Antichamber,https://steamdb.info/app/219890/,92.79%
240,Hexcells,https://steamdb.info/app/265890/,92.78%
241,XCOM: Enemy Unknown,https://steamdb.info/app/200510/,92.78%
242,Super Meat Boy,https://steamdb.info/app/40800/,92.77%
243,NGU IDLE,https://steamdb.info/app/1147690/,92.77%
244,Transistor,https://steamdb.info/app/237930/,92.76%
245,Call of Juarez Gunslinger,https://steamdb.info/app/204450/,92.76%
246,Hypnospace Outlaw,https://steamdb.info/app/844590/,92.74%
247,Sabbat of the Witch,https://steamdb.info/app/888790/,92.74%
248,The Jackbox Party Pack 3,https://steamdb.info/app/434170/,92.74%
249,STAR WARS™ Jedi Knight: Jedi Academy™,https://steamdb.info/app/6020/,92.74%
250,Creeper World 3: Arc Eternal,https://steamdb.info/app/280220/,92.73%
251,Pony Island,https://steamdb.info/app/405640/,92.73%
252,Montaro,https://steamdb.info/app/495890/,92.69%
253,One Finger Death Punch 2,https://steamdb.info/app/980300/,92.69%
254,Tsukikage no Simulacre:Kaihou no Hane,https://steamdb.info/app/1069230/,92.68%
255,Master Of Pottery,https://steamdb.info/app/1160490/,92.68%
256,Sally Face,https://steamdb.info/app/541570/,92.65%
257,异常 | Exception,https://steamdb.info/app/621000/,92.65%
258,Cinderella Phenomenon,https://steamdb.info/app/568770/,92.64%
259,Human: Fall Flat,https://steamdb.info/app/477160/,92.63%
260,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,https://steamdb.info/app/969990/,92.62%
261,Hexcells Infinite,https://steamdb.info/app/304410/,92.62%
262,The Elder Scrolls III: Morrowind,https://steamdb.info/app/22320/,92.57%
263,"Warhammer 40,000: Dawn of War - Dark Crusade",https://steamdb.info/app/4580/,92.57%
264,planetarian ~the reverie of a little planet~,https://steamdb.info/app/316720/,92.55%
265,Monolith,https://steamdb.info/app/603960/,92.55%
266,Crazy Machines 3,https://steamdb.info/app/351920/,92.54%
267,Caves of Qud,https://steamdb.info/app/333640/,92.54%
268,TIS-100,https://steamdb.info/app/370360/,92.53%
269,Alien Swarm,https://steamdb.info/app/630/,92.53%
270,AMID EVIL,https://steamdb.info/app/673130/,92.52%
271,Kingdom Rush Frontiers,https://steamdb.info/app/458710/,92.52%
272,Miracle snack shop 기적의 분식집,https://steamdb.info/app/995460/,92.52%
273,Amnesia: The Dark Descent,https://steamdb.info/app/57300/,92.51%
274,Zup! S,https://steamdb.info/app/617670/,92.49%
275,Blood and Bacon,https://steamdb.info/app/434570/,92.46%
276,Smile For Me,https://steamdb.info/app/1018850/,92.46%
277,Botanicula,https://steamdb.info/app/207690/,92.44%
278,Disco Elysium,https://steamdb.info/app/632470/,92.44%
279,The Legend of Heroes: Trails in the Sky SC,https://steamdb.info/app/251290/,92.43%
280,Fluffy Store,https://steamdb.info/app/1038740/,92.42%
281,GemCraft - Chasing Shadows,https://steamdb.info/app/296490/,92.41%
282,Gunfire Reborn,https://steamdb.info/app/1217060/,92.41%
283,LiEat,https://steamdb.info/app/373770/,92.40%
284,Free to Play,https://steamdb.info/app/245550/,92.40%
285,"Warhammer 40,000: Dawn of War - Soulstorm",https://steamdb.info/app/9450/,92.40%
286,Dungeons 3,https://steamdb.info/app/493900/,92.39%
287,Universe Sandbox,https://steamdb.info/app/230290/,92.38%
288,SpaceEngine,https://steamdb.info/app/314650/,92.36%
289,ISLANDERS,https://steamdb.info/app/1046030/,92.36%
290,Lethal League Blaze,https://steamdb.info/app/553310/,92.36%
291,Hyperdimension Neptunia Re;Birth1,https://steamdb.info/app/282900/,92.34%
292,Half-Life 2: Episode One,https://steamdb.info/app/380/,92.34%
293,Yakuza Kiwami 2,https://steamdb.info/app/927380/,92.33%
294,Being a DIK,https://steamdb.info/app/1126320/,92.32%
295,Orcs Must Die! 2,https://steamdb.info/app/201790/,92.31%
296,Meteor 60 Seconds!,https://steamdb.info/app/788770/,92.31%
297,STEINS;GATE 0,https://steamdb.info/app/825630/,92.30%
298,Borderlands 2,https://steamdb.info/app/49520/,92.30%
299,Don't Escape: 4 Days to Survive,https://steamdb.info/app/611760/,92.30%
300,東方幕華祭 春雪篇 ～ Fantastic Danmaku Festival Part II,https://steamdb.info/app/1031480/,92.29%
301,Machinarium,https://steamdb.info/app/40700/,92.28%
302,BioShock,https://steamdb.info/app/7670/,92.27%
303,PAC-MAN Championship Edition DX+,https://steamdb.info/app/236450/,92.26%
304,Zup! 8,https://steamdb.info/app/799070/,92.26%
305,Acting Lessons,https://steamdb.info/app/1045520/,92.26%
306,Plague Inc: Evolved,https://steamdb.info/app/246620/,92.25%
307,Coloring Pixels,https://steamdb.info/app/897330/,92.25%
308,Not For Broadcast,https://steamdb.info/app/1147550/,92.24%
309,Torchlight II,https://steamdb.info/app/200710/,92.24%
310,Psychonauts,https://steamdb.info/app/3830/,92.23%
311,A Plague Tale: Innocence,https://steamdb.info/app/752590/,92.22%
312,The Coma 2: Vicious Sisters,https://steamdb.info/app/1045720/,92.22%
313,Dead Space 2,https://steamdb.info/app/47780/,92.21%
314,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,https://steamdb.info/app/359050/,92.20%
315,Meitetsu:Pure Station,https://steamdb.info/app/880950/,92.18%
316,Lucy -The Eternity She Wished For-,https://steamdb.info/app/430960/,92.18%
317,Rise of the Tomb Raider,https://steamdb.info/app/391220/,92.18%
318,Angels with Scaly Wings,https://steamdb.info/app/571880/,92.17%
