,game_name,release_date,price
0,Fall Guys: Ultimate Knockout,"3 Aug, 2020",CDN$ 22.79
1,Fall Guys Collector's Edition,,CDN$ 33.99
2,Marvel's Avengers,"4 Sep, 2020",CDN$ 79.99
3,Factorio,"14 Aug, 2020",CDN$ 34.00
4,Microsoft Flight Simulator,8/18/2020,CDN$ 79.99
5,Risk of Rain 2,"11 Aug, 2020",CDN$ 24.99CDN$ 19.99
6,Among Us,"16 Nov, 2018",CDN$ 5.69
7,Fall Guys: Collectors Pack,"3 Aug, 2020",CDN$ 11.20
8,Marvel's Avengers Deluxe Edition,,CDN$ 106.98
9,Horizon Zero Dawn™ Complete Edition,"7 Aug, 2020",CDN$ 59.99
10,Battle Brothers - Blazing Deserts,"13 Aug, 2020",CDN$ 17.49
11,Endless Space® 2 Collection,,CDN$ 103.92CDN$ 24.62
12,Battlefield ™ V,"11 Jun, 2020",CDN$ 64.99CDN$ 19.49
13,Battle Brothers & All DLC,,CDN$ 72.26CDN$ 45.59
14,Halo: The Master Chief Collection,"3 Dec, 2019",CDN$ 49.99
15,Microsoft Flight Simulator,8/18/2020,CDN$ 79.99
16,The Henry Stickmin Collection,"7 Aug, 2020",CDN$ 17.49
17,Battle Brothers,"24 Mar, 2017",CDN$ 32.99CDN$ 10.89
18,Borderlands 3,"13 Mar, 2020",CDN$ 79.99CDN$ 39.99
19,Dying Light Enhanced Edition,,CDN$ 59.99CDN$ 17.99
20,Battlefield Bundle,,CDN$ 174.97CDN$ 40.17
21,Sea of Thieves,"3 Jun, 2020",CDN$ 49.99
22,Borderlands 3,"13 Mar, 2020",CDN$ 79.99CDN$ 39.99
23,Grounded,"28 Jul, 2020",CDN$ 39.99
24,Grand Theft Auto V,"13 Apr, 2015",CDN$ 29.99CDN$ 14.99
25,Battlefield 4™,"11 Jun, 2020",CDN$ 54.99CDN$ 13.74
26,Red Dead Redemption 2,"5 Dec, 2019",CDN$ 79.99
27,Crusader Kings III,"1 Sep, 2020",CDN$ 56.99
28,Satisfactory,"8 Jun, 2020",CDN$ 33.99
29,Destiny 2: Upgrade Edition,"10 Dec, 2019",CDN$ 56.99
30,Battlefield 1 ™,"11 Jun, 2020",CDN$ 54.99CDN$ 20.34
31,STAR WARS™: The Old Republic™ - Cartel Coins,"21 Jul, 2020",CDN$ 4.99
32,STAR WARS™: The Old Republic™ - Cartel Coins,"21 Jul, 2020",CDN$ 4.99
33,STAR WARS™: The Old Republic™ - Cartel Coins,"21 Jul, 2020",CDN$ 4.99
34,STAR WARS™: The Old Republic™ - Cartel Coins,"21 Jul, 2020",CDN$ 4.99
35,STAR WARS™: The Old Republic™ - Cartel Coins,"21 Jul, 2020",CDN$ 4.99
36,RimWorld,"17 Oct, 2018",CDN$ 39.99CDN$ 35.99
37,FINAL FANTASY XIV: Shadowbringers,"2 Jul, 2019",CDN$ 49.99
38,Parkasaurus,"12 Aug, 2020",CDN$ 27.99CDN$ 22.39
39,RimWorld - Royalty,"24 Feb, 2020",CDN$ 22.79
40,Europa Universalis IV: Collection,,CDN$ 279.05
41,Stardew Valley,"26 Feb, 2016",CDN$ 16.99CDN$ 13.59
42,Cyberpunk 2077,"18 Nov, 2020",CDN$ 79.99
43,Hollow Knight,"24 Feb, 2017",CDN$ 16.99CDN$ 8.49
44,Monster Hunter World: Iceborne,"9 Jan, 2020",CDN$ 54.99
