,game_name,release_date,original_price($),discount_price($),steam_rating
0,Factorio,"14 Aug, 2020",34.00,,97.14%
1,Risk of Rain 2,"11 Aug, 2020",24.99,19.99,94.49%
2,Among Us,"16 Nov, 2018",5.69,,91.48%
3,Battlefield ™ V,"11 Jun, 2020",64.99,19.49,59.79%
4,Halo: The Master Chief Collection,"3 Dec, 2019",49.99,,90.20%
5,The Henry Stickmin Collection,"7 Aug, 2020",17.49,,94.38%
6,Battle Brothers,"24 Mar, 2017",32.99,10.89,86.29%
7,Borderlands 3,"13 Mar, 2020",79.99,39.99,80.74%
8,Borderlands 3,"13 Mar, 2020",79.99,39.99,80.74%
9,Borderlands 3,"13 Mar, 2020",79.99,39.99,80.74%
10,Sea of Thieves,"3 Jun, 2020",49.99,,84.93%
11,Grounded,"28 Jul, 2020",39.99,,81.53%
12,Grand Theft Auto V,"13 Apr, 2015",29.99,14.99,79.78%
13,Red Dead Redemption 2,"5 Dec, 2019",79.99,,76.64%
14,Satisfactory,"8 Jun, 2020",33.99,,93.81%
15,Battlefield 1 ™,"11 Jun, 2020",54.99,20.34,72.07%
16,RimWorld,"17 Oct, 2018",39.99,35.99,96.66%
17,Parkasaurus,"12 Aug, 2020",27.99,22.39,91.49%
18,Stardew Valley,"26 Feb, 2016",16.99,13.59,96.51%
19,Hollow Knight,"24 Feb, 2017",16.99,8.49,95.20%
20,Monster Hunter: World,"9 Aug, 2018",39.99,,82.13%
21,Slay the Spire,"23 Jan, 2019",28.99,14.49,96.19%
22,Raft,"23 May, 2018",21.99,,88.26%
23,FINAL FANTASY XIV Online,"18 Feb, 2014",24.99,,85.32%
24,Hell Let Loose,"6 Jun, 2019",33.99,,78.45%
25,Popup Dungeon,"12 Aug, 2020",28.99,26.09,74.79%
26,Age of Empires II: Definitive Edition,"14 Nov, 2019",21.99,,90.51%
27,Persona 4 Golden,"13 Jun, 2020",23.99,,94.38%
28,Football Manager 2020,"19 Nov, 2019",59.99,20.39,86.44%
29,UnderMine,"6 Aug, 2020",22.79,,90.10%
30,Edge Of Eternity,"5 Dec, 2018",22.79,15.95,77.70%
31,Beat Saber,"21 May, 2019",33.99,,94.50%
32,Tabletop Simulator,"5 Jun, 2015",21.99,,94.02%
